 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),    APmag,  S-brt,             delta,     deldot,     S-O-T,/r,     S-T-O,  Sky_motion, Sky_mot_PA, RelVel-ANG,  Lun_Sky_Brt, sky_SNR,
***************************************************************************************************************************************************************************************
$$SOE
 1900-Sep-24 00:00, , , 08 18 33.18, +19 22 36.8,    8.384,  5.191,  2.89946783250470,-20.5737615,   59.4360,/L,   19.8702,   0.9067617,  98.727893,  -32.91982,         n.a.,    n.a.,
 1900-Oct-01 00:00, , , 08 28 58.36, +18 58 00.7,    8.339,  5.204,  2.81448097170500,-21.4498419,   63.8218,/L,   20.7334,   0.8740561,  99.217485,  -35.80584,         n.a.,    n.a.,
 1900-Oct-08 00:00, , , 08 38 56.89, +18 33 22.9,    8.286,  5.216,  2.72619766940171,-22.2068640,   68.3310,/L,   21.4931,   0.8370896,  99.558682,  -38.83612,         n.a.,    n.a.,
 1900-Oct-15 00:00, , , 08 48 26.16, +18 09 19.6,    8.226,  5.226,  2.63504892813610,-22.8694433,   72.9793,/L,   22.1363,   0.7951119,  99.712634,  -42.08303,         n.a.,    n.a.,
 1900-Oct-22 00:00, , , 08 57 22.61, +17 46 33.5,    8.157,  5.232,  2.54145582456606,-23.4067947,   77.7875,/L,   22.6452,   0.7462636,  99.622219,  -45.59538,         n.a.,    n.a.,
 1900-Oct-29 00:00, , , 09 05 41.89, +17 25 52.0,    8.079,  5.236,  2.44602394205237,-23.7735227,   82.7731,/L,   22.9987,   0.6900559,  99.221836,  -49.36330,         n.a.,    n.a.,
 1900-Nov-05 00:00, , , 09 13 19.64, +17 08 03.1,    7.992,  5.236,  2.34948818045049,-23.9540191,   87.9523,/L,   23.1751,   0.6267015,  98.409448,  -53.38670,         n.a.,    n.a.,
 1900-Nov-12 00:00, , , 09 20 11.36, +16 53 56.8,    7.896,  5.232,  2.25256828879385,-23.9640115,   93.3468,/L,   23.1521,   0.5554299,  96.977793,  -57.74395,         n.a.,    n.a.,
 1900-Nov-19 00:00, , , 09 26 11.30, +16 44 29.6,    7.791,  5.222,  2.15601198199940,-23.7628891,   98.9862,/L,   22.9021,   0.4745409,  94.525090,  -62.50532,         n.a.,    n.a.,
 1900-Nov-26 00:00, , , 09 31 12.73, +16 40 40.5,    7.676,  5.208,  2.06079535628455,-23.2937464,  104.8977,/L,   22.3937,   0.3847715,  90.258400,  -67.63367,         n.a.,    n.a.,
 1900-Dec-03 00:00, , , 09 35 09.04, +16 43 23.5,    7.551,  5.186,  1.96806607243928,-22.5325334,  111.1036,/L,   21.5969,   0.2897946,  82.274219,  -72.98767,         n.a.,    n.a.,
